language,type,lexicon,grammar,lexicon_grammar,avg_ms_complexity
artificial_language_g62_22_m63_m67_m75_m77_m80,artificial,64,2,66,1.0005882093712941
artificial_language_g0_139_m1_m14_m33_m34_m44_m66_m69_m81,artificial,94,2,96,1.0001445331353531
artificial_language_g62_22_m63_m67_m75_m77_m80_m81,artificial,63,2,65,1.0006068850000291
artificial_language_g8_0_m17_m22_m25_m27_m30_m34_m37_m64_m77_m81_m82,artificial,84,2,86,1.000173374214516
artificial_language_g8_0_m17_m22_m25_m27_m34_m83,artificial,89,2,91,1.0001579711334745
artificial_language_g0_139_m1_m14_m33_m34_m41_m60_m75_m83,artificial,92,2,94,1.0002891687482098
artificial_language_g0_31_m1_m4_m5_m6_m8_m12_m18_m27_m31_m40_m44_m55_m60_m62_m72_m75_m85,artificial,31,0,31,1.0290167833781911
artificial_language_g23_44_m34_m37_m41_m71_m80_m85,artificial,57,2,59,1.0003900919826605
artificial_language_g25_10_m27_m29_m35_m39_m42_m45_m60_m62_m86,artificial,75,2,77,1.0002174806146886
artificial_language_g25_10_m27_m29_m35_m39_m42_m45_m60_m62_m86_m88,artificial,74,2,76,1.0002233981843724
artificial_language_g8_0_m17_m22_m25_m27_m30_m34_m37_m90,artificial,87,2,89,1.0001616235245905
artificial_language_g62_22_m63_m67_m75_m77_m80_m90,artificial,65,2,67,1.0002986641742244
artificial_language_g62_22_m63_m67_m68_m72_m74_m80_m81_m90,artificial,61,2,63,1.0006470069740787
artificial_language_g0_31_m1_m4_m5_m6_m8_m12_m18_m27_m31_m32_m41_m46_m56_m86_m90,artificial,19,0,19,1.0618014336006374
artificial_language_g25_10_m27_m29_m35_m39_m42_m45_m60_m62_m86_m88_m90,artificial,73,2,75,1.000229560603795
artificial_language_g62_22_m63_m67_m75_m77_m80_m81_m91,artificial,62,2,64,1.0006264644412113
artificial_language_g91_36,artificial,96,0,96,1.0003849333049721
artificial_language_g0_31_m1_m4_m5_m6_m8_m14_m15_m21_m23_m24_m25_m27_m28_m29_m35_m37_m41_m45_m46_m48_m73_m92,artificial,34,0,34,1.025239889315591
artificial_language_g0_43_m18_m19_m21_m37_m44_m56_m69_m83_m94,artificial,71,2,73,1.0005215084487815
artificial_language_g62_22_m63_m67_m75_m77_m80_m90_m94,artificial,66,2,68,1.0005533544914536
artificial_language_g25_10_m27_m29_m35_m39_m42_m45_m60_m62_m86_m88_m90_m94,artificial,72,2,74,1.0002359815697577
artificial_language_g39_41_m72_m95,artificial,51,2,53,1.000000000000001
artificial_language_g0_31_m1_m4_m5_m6_m8_m14_m15_m21_m23_m24_m25_m27_m28_m29_m35_m37_m41_m45_m46_m48_m73_m95,artificial,33,0,33,1.0264661217243325
artificial_language_g0_31_m1_m4_m5_m6_m8_m12_m18_m27_m31_m40_m44_m55_m60_m62_m72_m75_m85_m95,artificial,32,0,32,1.0274321548158143
artificial_language_g8_0_m17_m22_m25_m27_m30_m34_m37_m90_m95,artificial,86,2,88,1.0001693188176644
artificial_language_g45_8_m53_m72_m97,artificial,54,2,56,1.0004195227906798
artificial_language_g97_41,artificial,70,2,72,1.0026620610644397
artificial_language_g8_0_m17_m22_m25_m27_m30_m34_m37_m64_m77_m81_m82_m98,artificial,85,2,87,1.000508097096217
artificial_language_g98_4,artificial,69,2,71,1.0059526365767788
artificial_language_g98_39,artificial,53,0,53,1.0143052124480894
artificial_language_g0_244_m1_m4_m7_m10_m25_m35_m37_m45_m51_m54_m56_m99,artificial,35,2,37,1.0228970984794865
artificial_language_g0_139_m1_m14_m33_m34_m41_m60_m75_m83_m99,artificial,91,2,93,1.000433701883562
artificial_language_g9_12_m14_m43_m46_m61_m80_m83_m99,artificial,67,2,69,1.0003287633586733
